"snapshot","lat","lon","value","label","category","source"
"2025-08","48.8566","2.3522","49.9","Paris","na-low","synthetic-risk-v1"
"2025-08","28.6139","77.2090","64.7","Delhi","eu-medium","synthetic-risk-v1"
"2025-08","35.6762","139.6503","62.1","Tokyo","apac-high","synthetic-risk-v1"
"2025-09","40.7128","-74.0060","52.2","New York","na-low","synthetic-risk-v1"
"2025-09","34.0522","-118.2437","52","Los Angeles","eu-medium","synthetic-risk-v1"
"2025-09","51.5074","-0.1278","55.4","London","apac-high","synthetic-risk-v1"
"2025-09","48.8566","2.3522","54","Paris","latam-low","synthetic-risk-v1"
"2025-09","28.6139","77.2090","62.8","Delhi","mea-medium","synthetic-risk-v1"
"2025-09","35.6762","139.6503","63.8","Tokyo","na-high","synthetic-risk-v1"
"2025-09","40.7128","-74.0060","69.6","New York","eu-low","synthetic-risk-v1"
"2025-09","34.0522","-118.2437","51.6","Los Angeles","apac-medium","synthetic-risk-v1"
"2025-09","51.5074","-0.1278","55.6","London","latam-high","synthetic-risk-v1"
"2025-09","48.8566","2.3522","53","Paris","mea-low","synthetic-risk-v1"
"2025-09","28.6139","77.2090","66","Delhi","na-medium","synthetic-risk-v1"
"2025-09","35.6762","139.6503","64.6","Tokyo","eu-high","synthetic-risk-v1"
"2025-09","40.7128","-74.0060","72.8","New York","apac-low","synthetic-risk-v1"
"2025-09","34.0522","-118.2437","68.4","Los Angeles","latam-medium","synthetic-risk-v1"
"2025-09","51.5074","-0.1278","57.6","London","mea-high","synthetic-risk-v1"
"2025-09","48.8566","2.3522","54.4","Paris","na-low","synthetic-risk-v1"
"2025-09","28.6139","77.2090","69.2","Delhi","eu-medium","synthetic-risk-v1"
"2025-09","35.6762","139.6503","66.6","Tokyo","apac-high","synthetic-risk-v1"
"2025-10","40.7128","-74.0060","56.7","New York","na-low","synthetic-risk-v1"
"2025-10","34.0522","-118.2437","56.5","Los Angeles","eu-medium","synthetic-risk-v1"
"2025-10","51.5074","-0.1278","59.9","London","apac-high","synthetic-risk-v1"
"2025-10","48.8566","2.3522","58.5","Paris","latam-low","synthetic-risk-v1"
"2025-10","28.6139","77.2090","67.3","Delhi","mea-medium","synthetic-risk-v1"
"2025-10","35.6762","139.6503","68.3","Tokyo","na-high","synthetic-risk-v1"
"2025-10","40.7128","-74.0060","74.1","New York","eu-low","synthetic-risk-v1"
"2025-10","34.0522","-118.2437","56.1","Los Angeles","apac-medium","synthetic-risk-v1"
"2025-10","51.5074","-0.1278","60.1","London","latam-high","synthetic-risk-v1"
"2025-10","48.8566","2.3522","57.5","Paris","mea-low","synthetic-risk-v1"
"2025-10","28.6139","77.2090","70.5","Delhi","na-medium","synthetic-risk-v1"
"2025-10","35.6762","139.6503","69.1","Tokyo","eu-high","synthetic-risk-v1"
"2025-10","40.7128","-74.0060","77.3","New York","apac-low","synthetic-risk-v1"
"2025-10","34.0522","-118.2437","72.9","Los Angeles","latam-medium","synthetic-risk-v1"
"2025-10","51.5074","-0.1278","62.1","London","mea-high","synthetic-risk-v1"
"2025-10","48.8566","2.3522","58.9","Paris","na-low","synthetic-risk-v1"
"2025-10","28.6139","77.2090","73.7","Delhi","eu-medium","synthetic-risk-v1"
"2025-10","35.6762","139.6503","71.1","Tokyo","apac-high","synthetic-risk-v1"
"2025-11","40.7128","-74.0060","61.2","New York","na-low","synthetic-risk-v1"
"2025-11","34.0522","-118.2437","61","Los Angeles","eu-medium","synthetic-risk-v1"
"2025-11","51.5074","-0.1278","64.4","London","apac-high","synthetic-risk-v1"
"2025-11","48.8566","2.3522","63","Paris","latam-low","synthetic-risk-v1"
"2025-11","28.6139","77.2090","71.8","Delhi","mea-medium","synthetic-risk-v1"
"2025-11","35.6762","139.6503","72.8","Tokyo","na-high","synthetic-risk-v1"
"2025-11","40.7128","-74.0060","78.6","New York","eu-low","synthetic-risk-v1"
"2025-11","34.0522","-118.2437","60.6","Los Angeles","apac-medium","synthetic-risk-v1"
"2025-11","51.5074","-0.1278","64.6","London","latam-high","synthetic-risk-v1"
"2025-11","48.8566","2.3522","62","Paris","mea-low","synthetic-risk-v1"
"2025-11","28.6139","77.2090","75","Delhi","na-medium","synthetic-risk-v1"
"2025-11","35.6762","139.6503","73.6","Tokyo","eu-high","synthetic-risk-v1"
"2025-11","40.7128","-74.0060","81.8","New York","apac-low","synthetic-risk-v1"
"2025-11","34.0522","-118.2437","77.4","Los Angeles","latam-medium","synthetic-risk-v1"
"2025-11","51.5074","-0.1278","66.6","London","mea-high","synthetic-risk-v1"
"2025-11","48.8566","2.3522","63.4","Paris","na-low","synthetic-risk-v1"
"2025-11","28.6139","77.2090","78.2","Delhi","eu-medium","synthetic-risk-v1"
"2025-11","35.6762","139.6503","75.6","Tokyo","apac-high","synthetic-risk-v1"
"2025-12","40.7128","-74.0060","65.7","New York","na-low","synthetic-risk-v1"
"2025-12","34.0522","-118.2437","65.5","Los Angeles","eu-medium","synthetic-risk-v1"
"2025-12","51.5074","-0.1278","68.9","London","apac-high","synthetic-risk-v1"
"2025-12","48.8566","2.3522","67.5","Paris","latam-low","synthetic-risk-v1"
"2025-12","28.6139","77.2090","76.3","Delhi","mea-medium","synthetic-risk-v1"
"2025-12","35.6762","139.6503","77.3","Tokyo","na-high","synthetic-risk-v1"
"2025-12","40.7128","-74.0060","83.1","New York","eu-low","synthetic-risk-v1"
"2025-12","34.0522","-118.2437","65.1","Los Angeles","apac-medium","synthetic-risk-v1"
"2025-12","51.5074","-0.1278","69.1","London","latam-high","synthetic-risk-v1"
"2025-12","48.8566","2.3522","66.5","Paris","mea-low","synthetic-risk-v1"
"2025-12","28.6139","77.2090","79.5","Delhi","na-medium","synthetic-risk-v1"
"2025-12","35.6762","139.6503","78.1","Tokyo","eu-high","synthetic-risk-v1"
"2025-12","40.7128","-74.0060","86.3","New York","apac-low","synthetic-risk-v1"
"2025-12","34.0522","-118.2437","81.9","Los Angeles","latam-medium","synthetic-risk-v1"
"2025-12","51.5074","-0.1278","71.1","London","mea-high","synthetic-risk-v1"
"2025-12","48.8566","2.3522","67.9","Paris","na-low","synthetic-risk-v1"
"2025-12","28.6139","77.2090","82.7","Delhi","eu-medium","synthetic-risk-v1"
"2025-12","35.6762","139.6503","80.1","Tokyo","apac-high","synthetic-risk-v1"
"2026-01","40.7128","-74.0060","70.2","New York","na-low","synthetic-risk-v1"
"2026-01","34.0522","-118.2437","70","Los Angeles","eu-medium","synthetic-risk-v1"
"2026-01","51.5074","-0.1278","73.4","London","apac-high","synthetic-risk-v1"
"2026-01","48.8566","2.3522","72","Paris","latam-low","synthetic-risk-v1"
"2026-01","28.6139","77.2090","80.8","Delhi","mea-medium","synthetic-risk-v1"
"2026-01","35.6762","139.6503","81.8","Tokyo","na-high","synthetic-risk-v1"
"2026-01","40.7128","-74.0060","87.6","New York","eu-low","synthetic-risk-v1"
"2026-01","34.0522","-118.2437","69.6","Los Angeles","apac-medium","synthetic-risk-v1"
"2026-01","51.5074","-0.1278","73.6","London","latam-high","synthetic-risk-v1"
"2026-01","48.8566","2.3522","71","Paris","mea-low","synthetic-risk-v1"
"2026-01","28.6139","77.2090","84","Delhi","na-medium","synthetic-risk-v1"
"2026-01","35.6762","139.6503","82.6","Tokyo","eu-high","synthetic-risk-v1"
"2026-01","40.7128","-74.0060","90.8","New York","apac-low","synthetic-risk-v1"
"2026-01","34.0522","-118.2437","86.4","Los Angeles","latam-medium","synthetic-risk-v1"
"2026-01","51.5074","-0.1278","75.6","London","mea-high","synthetic-risk-v1"
"2026-01","48.8566","2.3522","72.4","Paris","na-low","synthetic-risk-v1"
"2026-01","28.6139","77.2090","87.2","Delhi","eu-medium","synthetic-risk-v1"
"2026-01","35.6762","139.6503","84.6","Tokyo","apac-high","synthetic-risk-v1"
"2026-02","40.7128","-74.0060","74.7","New York","na-low","synthetic-risk-v1"
"2026-02","34.0522","-118.2437","74.5","Los Angeles","eu-medium","synthetic-risk-v1"
"2026-02","51.5074","-0.1278","77.9","London","apac-high","synthetic-risk-v1"
"2026-02","48.8566","2.3522","76.5","Paris","latam-low","synthetic-risk-v1"
"2026-02","28.6139","77.2090","85.3","Delhi","mea-medium","synthetic-risk-v1"
"2026-02","35.6762","139.6503","86.3","Tokyo","na-high","synthetic-risk-v1"
"2026-02","40.7128","-74.0060","92.1","New York","eu-low","synthetic-risk-v1"
"2026-02","34.0522","-118.2437","74.1","Los Angeles","apac-medium","synthetic-risk-v1"
"2026-02","51.5074","-0.1278","78.1","London","latam-high","synthetic-risk-v1"
"2026-02","48.8566","2.3522","75.5","Paris","mea-low","synthetic-risk-v1"
"2026-02","28.6139","77.2090","88.5","Delhi","na-medium","synthetic-risk-v1"
"2026-02","35.6762","139.6503","87.1","Tokyo","eu-high","synthetic-risk-v1"
"2026-02","40.7128","-74.0060","95.3","New York","apac-low","synthetic-risk-v1"
"2026-02","34.0522","-118.2437","90.9","Los Angeles","latam-medium","synthetic-risk-v1"
"2026-02","51.5074","-0.1278","80.1","London","mea-high","synthetic-risk-v1"
"2026-02","48.8566","2.3522","76.9","Paris","na-low","synthetic-risk-v1"
"2026-02","28.6139","77.2090","91.7","Delhi","eu-medium","synthetic-risk-v1"
"2026-02","35.6762","139.6503","89.1","Tokyo","apac-high","synthetic-risk-v1"
"2026-03","40.7128","-74.0060","79.2","New York","na-low","synthetic-risk-v1"
"2026-03","34.0522","-118.2437","79","Los Angeles","eu-medium","synthetic-risk-v1"
"2026-03","51.5074","-0.1278","82.4","London","apac-high","synthetic-risk-v1"
"2026-03","48.8566","2.3522","81","Paris","latam-low","synthetic-risk-v1"
"2026-03","28.6139","77.2090","89.8","Delhi","mea-medium","synthetic-risk-v1"
"2026-03","35.6762","139.6503","90.8","Tokyo","na-high","synthetic-risk-v1"
"2026-03","40.7128","-74.0060","96.6","New York","eu-low","synthetic-risk-v1"
"2026-03","34.0522","-118.2437","78.6","Los Angeles","apac-medium","synthetic-risk-v1"
"2026-03","51.5074","-0.1278","82.6","London","latam-high","synthetic-risk-v1"
"2026-03","48.8566","2.3522","80","Paris","mea-low","synthetic-risk-v1"
"2026-03","28.6139","77.2090","93","Delhi","na-medium","synthetic-risk-v1"
"2026-03","35.6762","139.6503","91.6","Tokyo","eu-high","synthetic-risk-v1"
"2026-03","40.7128","-74.0060","99.8","New York","apac-low","synthetic-risk-v1"
"2026-03","34.0522","-118.2437","95.4","Los Angeles","latam-medium","synthetic-risk-v1"
"2026-03","51.5074","-0.1278","84.6","London","mea-high","synthetic-risk-v1"
"2026-03","48.8566","2.3522","81.4","Paris","na-low","synthetic-risk-v1"
"2026-03","28.6139","77.2090","96.2","Delhi","eu-medium","synthetic-risk-v1"
"2026-03","35.6762","139.6503","93.6","Tokyo","apac-high","synthetic-risk-v1"
"2026-04","40.7128","-74.0060","83.7","New York","na-low","synthetic-risk-v1"
"2026-04","34.0522","-118.2437","83.5","Los Angeles","eu-medium","synthetic-risk-v1"
"2026-04","51.5074","-0.1278","86.9","London","apac-high","synthetic-risk-v1"
"2026-04","48.8566","2.3522","85.5","Paris","latam-low","synthetic-risk-v1"
"2026-04","28.6139","77.2090","94.3","Delhi","mea-medium","synthetic-risk-v1"
"2026-04","35.6762","139.6503","95.3","Tokyo","na-high","synthetic-risk-v1"
"2026-04","40.7128","-74.0060","101.1","New York","eu-low","synthetic-risk-v1"
"2026-04","34.0522","-118.2437","83.1","Los Angeles","apac-medium","synthetic-risk-v1"
"2026-04","51.5074","-0.1278","87.1","London","latam-high","synthetic-risk-v1"
"2026-04","48.8566","2.3522","84.5","Paris","mea-low","synthetic-risk-v1"
"2026-04","28.6139","77.2090","97.5","Delhi","na-medium","synthetic-risk-v1"
"2026-04","35.6762","139.6503","96.1","Tokyo","eu-high","synthetic-risk-v1"
"2026-04","40.7128","-74.0060","104.3","New York","apac-low","synthetic-risk-v1"
"2026-04","34.0522","-118.2437","99.9","Los Angeles","latam-medium","synthetic-risk-v1"
"2026-04","51.5074","-0.1278","89.1","London","mea-high","synthetic-risk-v1"
"2026-04","48.8566","2.3522","85.9","Paris","na-low","synthetic-risk-v1"
"2026-04","28.6139","77.2090","100.7","Delhi","eu-medium","synthetic-risk-v1"
"2026-04","35.6762","139.6503","98.1","Tokyo","apac-high","synthetic-risk-v1"
"2026-05","40.7128","-74.0060","88.2","New York","na-low","synthetic-risk-v1"
"2026-05","34.0522","-118.2437","88","Los Angeles","eu-medium","synthetic-risk-v1"
"2026-05","51.5074","-0.1278","91.4","London","apac-high","synthetic-risk-v1"
"2026-05","48.8566","2.3522","90","Paris","latam-low","synthetic-risk-v1"
"2026-05","28.6139","77.2090","98.8","Delhi","mea-medium","synthetic-risk-v1"
"2026-05","35.6762","139.6503","99.8","Tokyo","na-high","synthetic-risk-v1"
"2026-05","40.7128","-74.0060","105.6","New York","eu-low","synthetic-risk-v1"
"2026-05","34.0522","-118.2437","87.6","Los Angeles","apac-medium","synthetic-risk-v1"
"2026-05","51.5074","-0.1278","91.6","London","latam-high","synthetic-risk-v1"
"2026-05","48.8566","2.3522","89","Paris","mea-low","synthetic-risk-v1"
"2026-05","28.6139","77.2090","102","Delhi","na-medium","synthetic-risk-v1"
"2026-05","35.6762","139.6503","100.6","Tokyo","eu-high","synthetic-risk-v1"
"2026-05","40.7128","-74.0060","108.8","New York","apac-low","synthetic-risk-v1"
"2026-05","34.0522","-118.2437","104.4","Los Angeles","latam-medium","synthetic-risk-v1"
"2026-05","51.5074","-0.1278","93.6","London","mea-high","synthetic-risk-v1"
"2026-05","48.8566","2.3522","90.4","Paris","na-low","synthetic-risk-v1"
"2026-05","28.6139","77.2090","105.2","Delhi","eu-medium","synthetic-risk-v1"
"2026-05","35.6762","139.6503","102.6","Tokyo","apac-high","synthetic-risk-v1"
"2026-06","40.7128","-74.0060","92.7","New York","na-low","synthetic-risk-v1"
"2026-06","34.0522","-118.2437","92.5","Los Angeles","eu-medium","synthetic-risk-v1"
"2026-06","51.5074","-0.1278","95.9","London","apac-high","synthetic-risk-v1"
"2026-06","48.8566","2.3522","94.5","Paris","latam-low","synthetic-risk-v1"
"2026-06","28.6139","77.2090","103.3","Delhi","mea-medium","synthetic-risk-v1"
"2026-06","35.6762","139.6503","104.3","Tokyo","na-high","synthetic-risk-v1"
"2026-06","40.7128","-74.0060","110.1","New York","eu-low","synthetic-risk-v1"
"2026-06","34.0522","-118.2437","92.1","Los Angeles","apac-medium","synthetic-risk-v1"
"2026-06","51.5074","-0.1278","96.1","London","latam-high","synthetic-risk-v1"
"2026-06","48.8566","2.3522","93.5","Paris","mea-low","synthetic-risk-v1"
"2026-06","28.6139","77.2090","106.5","Delhi","na-medium","synthetic-risk-v1"
"2026-06","35.6762","139.6503","105.1","Tokyo","eu-high","synthetic-risk-v1"
"2026-06","40.7128","-74.0060","113.3","New York","apac-low","synthetic-risk-v1"
"2026-06","34.0522","-118.2437","108.9","Los Angeles","latam-medium","synthetic-risk-v1"
"2026-06","51.5074","-0.1278","98.1","London","mea-high","synthetic-risk-v1"
"2026-06","48.8566","2.3522","94.9","Paris","na-low","synthetic-risk-v1"
"2026-06","28.6139","77.2090","109.7","Delhi","eu-medium","synthetic-risk-v1"
"2026-06","35.6762","139.6503","107.1","Tokyo","apac-high","synthetic-risk-v1"
